qid,old_answer,new_answer,evidence
res_a_017,A,AB,A: pack2_text17::chunk_000014 states 2025 financial Xinchuang market size is expected to be close to 2500 billion yuan. B: pack2_text03::chunk_000003 states high savings coexist and service consumption share remains relatively low. C/D not fully supported.
fin_a_020,A,AB,"A: annual_chinamobile_2025_report revenue is 10502 billion yuan, more than twice annual_catl_2025_report revenue of 4237.01834 billion yuan. B: annual_catl_2025_report::chunk_000055 states operating cash flow net amount is 1332 billion yuan. C/D are contradicted by R&D ratio and overseas revenue data."
reg_a_001,CD,ACD,"A: strict_v3_008::chunk_000011 states major beneficial-owner information differences caused by inaccurate filing should be reported within 30 working days. C: strict_v3_008::chunk_000015 states higher-risk existing customers should be completed within 6 months. D: strict_v3_009 takes effect on 2026-01-01, earlier than strict_v3_008 on 2026-01-20."
fc_a_004,A,AD,"A: text01::chunk_000002/text01::chunk_000065 state this bond issue size is no more than 10 billion yuan. D: text13::chunk_000073 states asset-liability ratios are 66.38%, 65.54%, and 63.51% for 2022-2024, within 63%-66% approximately. B is contradicted by text13::chunk_000001/text13::chunk_000008 showing 3000 billion yuan, not 180 billion yuan; C is not supported as both docs do not detail recent three-year net profit data."
fin_a_008,D,B,"A is contradicted by annual_byd_2024_report::chunk_000087: 2024 R&D investment ratio is 6.97%, while 6.63% is 2023. C is contradicted by annual_byd_2024_report::chunk_000022: 2024 net profit attributable to shareholders is 40.254346 billion yuan, while 30.040811 billion yuan is 2023. D is contradicted by annual_catl_2024_report::chunk_000187/000813: 45.53 yuan is per 10 shares, not per share. B is supported by annual_catl_2024_report::chunk_000187: annual cash dividend is 20% of 2024 net profit attributable to shareholders."
res_a_002,AC,ABC,B is supported by pack2_text01::chunk_000008: Korean bancassurance premium contribution exceeds 50% and the compound growth rate over nearly 20 years reached 12%. A and C remain supported by pack2_text11; D is from a different research document and is not supported by the question's specified doc_ids.
reg_a_006,B,A,strict_v3_008::chunk_000015 states financial institutions must complete beneficial-owner identification and verification for higher-risk-or-above existing non-natural-person customers within 6 months after the rule takes effect. csrc_0009_att1::chunk_000003 states periodic reports must be approved by the board and unapproved periodic reports must not be disclosed.
fc_a_004,AD,A,"Reverted D after stricter boundary check: text13::chunk_000147/text13::chunk_000148 list asset-liability ratios as 66.38%, 65.54%, and 63.51%. Because 66.38% is above 66%, option D's wording 'between 63% and 66%' is not safely true. A remains supported by text01::chunk_000002."
res_a_001,AC,ABC,"B is supported by pack2_text01::chunk_000008: bancassurance channels achieved a 9.9% CAGR from 2005 to 2018. D is contradicted by pack2_text17::chunk_000035, which says Yusys Technologies revenue decreased by 8.47%, not increased."
res_a_002,ABC,AC,"Reverted B after stricter wording check: pack2_text01::chunk_000008 says Korean bancassurance premium contribution exceeds 50% and the channel/premium CAGR reached 12%, but option B says the premium contribution rate itself had a 12% CAGR. The contribution rate moved from 40% to 56%, so B is not safely supported. A and C remain directly supported by pack2_text11."
