qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1508487,168018,1676505
fc_a_001,ABD,9572,1682,11254
fc_a_002,ABD,7690,1402,9092
fc_a_003,A,6147,751,6898
fc_a_004,A,21550,1699,23249
fc_a_005,ABD,11975,2129,14104
fc_a_006,A,23743,805,24548
fc_a_007,BD,11168,1451,12619
fc_a_008,B,20056,1275,21331
fc_a_009,ABD,20845,1831,22676
fc_a_010,A,6877,790,7667
fc_a_011,AB,26719,1040,27759
fc_a_012,AC,48905,1900,50805
fc_a_013,A,5298,1025,6323
fc_a_014,B,55107,1618,56725
fc_a_015,A,7945,2923,10868
fc_a_016,ABC,6385,1132,7517
fc_a_017,ABD,11813,2171,13984
fc_a_018,B,5414,1184,6598
fc_a_019,AB,9727,1969,11696
fc_a_020,AB,12620,1319,13939
fin_a_001,AB,17441,2135,19576
fin_a_002,ABD,23883,2348,26231
fin_a_003,A,10734,731,11465
fin_a_004,ABD,21934,2021,23955
fin_a_005,ABD,17195,1750,18945
fin_a_006,A,23041,1262,24303
fin_a_007,ABD,19194,2021,21215
fin_a_008,D,11096,7110,18206
fin_a_009,ABC,17176,1627,18803
fin_a_010,A,33040,1260,34300
fin_a_011,ACD,23114,1956,25070
fin_a_012,ABD,44186,2385,46571
fin_a_013,A,30509,771,31280
fin_a_014,AB,34638,2044,36682
fin_a_015,A,13265,3447,16712
fin_a_016,AD,20777,2115,22892
fin_a_017,AC,25168,1337,26505
fin_a_018,A,15630,816,16446
fin_a_019,AB,52012,1451,53463
fin_a_020,A,24084,3235,27319
ins_a_001,B,7792,1783,9575
ins_a_002,A,11749,1696,13445
ins_a_003,B,13204,2256,15460
ins_a_004,A,14134,1041,15175
ins_a_005,ABCD,9053,1259,10312
ins_a_006,A,24385,3856,28241
ins_a_007,BC,6786,1873,8659
ins_a_008,ABC,9594,1693,11287
ins_a_009,C,5764,1406,7170
ins_a_010,AB,8183,1615,9798
ins_a_011,BC,14480,1534,16014
ins_a_012,A,8162,1420,9582
ins_a_013,A,5115,1417,6532
ins_a_014,ABD,15433,2218,17651
ins_a_015,AB,10269,2311,12580
ins_a_016,CD,11010,1253,12263
ins_a_017,ABCD,6842,1351,8193
ins_a_018,BCD,10401,1719,12120
ins_a_019,ABCD,7746,1270,9016
ins_a_020,D,20611,1857,22468
reg_a_001,CD,9252,2570,11822
reg_a_002,ABC,9740,1202,10942
reg_a_003,A,8202,876,9078
reg_a_004,ABC,10778,1566,12344
reg_a_005,ABC,10798,2933,13731
reg_a_006,B,7219,1395,8614
reg_a_007,ACD,10456,1781,12237
reg_a_008,A,10677,1593,12270
reg_a_009,ABD,9452,2738,12190
reg_a_010,B,10525,1370,11895
reg_a_011,AC,11643,3026,14669
reg_a_012,ABD,7967,2028,9995
reg_a_013,A,6752,788,7540
reg_a_014,ABD,9169,1109,10278
reg_a_015,C,7895,991,8886
reg_a_016,ABD,9562,2426,11988
reg_a_017,AB,10403,1678,12081
reg_a_018,A,12907,999,13906
reg_a_019,ABD,15301,1228,16529
reg_a_020,ABD,12186,1110,13296
res_a_001,AC,11707,1839,13546
res_a_002,AC,10917,2181,13098
res_a_003,A,9743,1221,10964
res_a_004,AB,12679,2122,14801
res_a_005,ABC,15854,1251,17105
res_a_006,B,11879,1711,13590
res_a_007,ABC,5968,1291,7259
res_a_008,A,7585,1430,9015
res_a_009,ABC,11166,1295,12461
res_a_010,A,5334,483,5817
res_a_011,BC,10069,1707,11776
res_a_012,ABC,7113,1225,8338
res_a_013,B,12856,918,13774
res_a_014,ABC,17983,1180,19163
res_a_015,A,13900,1212,15112
res_a_016,ACD,16788,1148,17936
res_a_017,A,15425,1708,17133
res_a_018,A,19583,1123,20706
res_a_019,AB,34411,1120,35531
res_a_020,AB,28257,1700,29957
