qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,2800960,172335,2973295
fc_a_001,ABD,17393,1722,19115
fc_a_002,ABD,14857,1445,16302
fc_a_003,A,6147,763,6910
fc_a_004,A,37208,1694,38902
fc_a_005,ABD,23899,2181,26080
fc_a_006,A,363469,1009,364478
fc_a_007,BD,23803,1313,25116
fc_a_008,B,50414,1757,52171
fc_a_009,ABD,38357,1354,39711
fc_a_010,A,41494,1109,42603
fc_a_011,AB,36559,1466,38025
fc_a_012,AC,62531,2090,64621
fc_a_013,A,5298,1113,6411
fc_a_014,B,66641,1850,68491
fc_a_015,A,31349,2412,33761
fc_a_016,ABC,12197,1284,13481
fc_a_017,ABD,19690,1758,21448
fc_a_018,B,5414,1149,6563
fc_a_019,AB,21742,2152,23894
fc_a_020,AB,13767,1465,15232
fin_a_001,AB,30233,2556,32789
fin_a_002,ABD,53655,2177,55832
fin_a_003,A,11524,784,12308
fin_a_004,ABD,37506,1505,39011
fin_a_005,ABD,37387,1590,38977
fin_a_006,A,24835,1422,26257
fin_a_007,ABCDEGHIKLNOPQRSTUVWY,52189,1417,53606
fin_a_008,B,31919,5997,37916
fin_a_009,ABC,40027,1597,41624
fin_a_010,A,34523,992,35515
fin_a_011,ACD,47392,1791,49183
fin_a_012,ABD,62367,2548,64915
fin_a_013,A,38796,757,39553
fin_a_014,AB,62210,2563,64773
fin_a_015,A,29092,3547,32639
fin_a_016,AD,37691,1912,39603
fin_a_017,AC,62751,1462,64213
fin_a_018,A,18519,1116,19635
fin_a_019,AB,69859,1474,71333
fin_a_020,A,38218,3357,41575
ins_a_001,B,16866,2164,19030
ins_a_002,A,13721,1298,15019
ins_a_003,B,30574,2144,32718
ins_a_004,A,38301,1227,39528
ins_a_005,ABCD,16464,1352,17816
ins_a_006,A,24385,3678,28063
ins_a_007,C,11517,2182,13699
ins_a_008,ABC,19682,1567,21249
ins_a_009,C,10131,1073,11204
ins_a_010,AB,15454,1913,17367
ins_a_011,BC,31741,1990,33731
ins_a_012,A,20465,1048,21513
ins_a_013,A,7568,929,8497
ins_a_014,ABD,21577,1774,23351
ins_a_015,AB,17593,2226,19819
ins_a_016,CD,20370,908,21278
ins_a_017,ABCD,12711,1419,14130
ins_a_018,BCD,24437,1590,26027
ins_a_019,ABCD,13595,1347,14942
ins_a_020,D,36067,2791,38858
reg_a_001,CD,9252,2760,12012
reg_a_002,ABC,9740,1666,11406
reg_a_003,A,8202,881,9083
reg_a_004,AB,12974,2904,15878
reg_a_005,BC,10798,2704,13502
reg_a_006,B,7219,2129,9348
reg_a_007,ACD,10712,1866,12578
reg_a_008,A,13027,1677,14704
reg_a_009,ABD,9452,2525,11977
reg_a_010,B,10525,1242,11767
reg_a_011,AC,16721,2732,19453
reg_a_012,ABCD,14105,3099,17204
reg_a_013,A,6752,874,7626
reg_a_014,ABD,11628,1018,12646
reg_a_015,C,7895,1065,8960
reg_a_016,ABD,12586,2052,14638
reg_a_017,AB,12033,2051,14084
reg_a_018,A,12907,762,13669
reg_a_019,ABD,18599,1476,20075
reg_a_020,ABD,12186,1103,13289
res_a_001,AC,18450,1878,20328
res_a_002,AC,19930,2817,22747
res_a_003,A,9743,1190,10933
res_a_004,AB,24096,1939,26035
res_a_005,ABC,23845,1304,25149
res_a_006,B,11879,1603,13482
res_a_007,ABC,13734,1373,15107
res_a_008,A,18202,1343,19545
res_a_009,ABC,17330,1428,18758
res_a_010,A,5334,435,5769
res_a_011,BC,14849,1449,16298
res_a_012,ABC,21425,1110,22535
res_a_013,B,12856,1178,14034
res_a_014,ABC,32604,1243,33847
res_a_015,A,33513,1143,34656
res_a_016,ACD,32582,1381,33963
res_a_017,A,22106,1952,24058
res_a_018,A,19583,1480,21063
res_a_019,AB,57118,1133,58251
res_a_020,AB,48327,2100,50427
