qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,0,0,0
fc_a_001,ABD,0,0,0
fc_a_002,ABD,0,0,0
fc_a_003,A,0,0,0
fc_a_004,A,0,0,0
fc_a_005,ABD,0,0,0
fc_a_006,A,0,0,0
fc_a_007,BD,0,0,0
fc_a_008,B,0,0,0
fc_a_009,ABD,0,0,0
fc_a_010,A,0,0,0
fc_a_011,AB,0,0,0
fc_a_012,AC,0,0,0
fc_a_013,A,0,0,0
fc_a_014,B,0,0,0
fc_a_015,A,0,0,0
fc_a_016,ABC,0,0,0
fc_a_017,ABD,0,0,0
fc_a_018,B,0,0,0
fc_a_019,AB,0,0,0
fc_a_020,AB,0,0,0
fin_a_001,AB,0,0,0
fin_a_002,ABD,0,0,0
fin_a_003,A,0,0,0
fin_a_004,ABD,0,0,0
fin_a_005,ABD,0,0,0
fin_a_006,A,0,0,0
fin_a_007,ABD,0,0,0
fin_a_008,B,0,0,0
fin_a_009,ABC,0,0,0
fin_a_010,A,0,0,0
fin_a_011,ACD,0,0,0
fin_a_012,ABD,0,0,0
fin_a_013,A,0,0,0
fin_a_014,AB,0,0,0
fin_a_015,A,0,0,0
fin_a_016,AD,0,0,0
fin_a_017,AC,0,0,0
fin_a_018,A,0,0,0
fin_a_019,AB,0,0,0
fin_a_020,A,0,0,0
ins_a_001,B,0,0,0
ins_a_002,A,0,0,0
ins_a_003,B,0,0,0
ins_a_004,A,0,0,0
ins_a_005,ABCD,0,0,0
ins_a_006,A,0,0,0
ins_a_007,C,0,0,0
ins_a_008,ABC,0,0,0
ins_a_009,C,0,0,0
ins_a_010,AB,0,0,0
ins_a_011,BC,0,0,0
ins_a_012,A,0,0,0
ins_a_013,A,0,0,0
ins_a_014,ABD,0,0,0
ins_a_015,AB,0,0,0
ins_a_016,CD,0,0,0
ins_a_017,ABCD,0,0,0
ins_a_018,BCD,0,0,0
ins_a_019,ABCD,0,0,0
ins_a_020,D,0,0,0
reg_a_001,CD,0,0,0
reg_a_002,ABC,0,0,0
reg_a_003,A,0,0,0
reg_a_004,AB,0,0,0
reg_a_005,BC,0,0,0
reg_a_006,B,0,0,0
reg_a_007,ACD,0,0,0
reg_a_008,A,0,0,0
reg_a_009,ABD,0,0,0
reg_a_010,B,0,0,0
reg_a_011,AC,0,0,0
reg_a_012,ABCD,0,0,0
reg_a_013,A,0,0,0
reg_a_014,ABD,0,0,0
reg_a_015,C,0,0,0
reg_a_016,ABD,0,0,0
reg_a_017,AB,0,0,0
reg_a_018,A,0,0,0
reg_a_019,ABD,0,0,0
reg_a_020,ABD,0,0,0
res_a_001,AC,0,0,0
res_a_002,AC,0,0,0
res_a_003,A,0,0,0
res_a_004,AB,0,0,0
res_a_005,ABC,0,0,0
res_a_006,B,0,0,0
res_a_007,ABC,0,0,0
res_a_008,A,0,0,0
res_a_009,ABC,0,0,0
res_a_010,A,0,0,0
res_a_011,BC,0,0,0
res_a_012,ABC,0,0,0
res_a_013,B,0,0,0
res_a_014,ABC,0,0,0
res_a_015,A,0,0,0
res_a_016,ACD,0,0,0
res_a_017,A,0,0,0
res_a_018,A,0,0,0
res_a_019,AB,0,0,0
res_a_020,AB,0,0,0
